OSEBuildingID,BuildingType,PrimaryPropertyType,PropertyName,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal(m2),PropertyGFAParking(m2),LargestPropertyUseType,SecondLargestPropertyUseType,ENERGYSTARScore,SourceEUIWN(GJ/m2),SiteEnergyUseWN(GJ),SteamUse(GJ),Electricity(kWh),NaturalGas(GJ),TotalGHGEmissions(MetricTonsCO2e)
27825,NonResidential,Other,AKER'S VOLKS-PORSCHE REPAIR (ID27825),98122.0,6003000020,3,EAST,1907,1.0,2,2073.5958528,0.0,"Repair Services (Vehicle, Shoe, Locksmith, etc)",,,257.22634480984476,225465.745040439,0.0,39500.099610000005,72010.48264999999,4.5649999999999995
27828,NonResidential,Mixed Use Property,905 E Pike St,98122.0,6003000035,3,EAST,1912,1.0,3,2229.6729600000003,0.0,Office,Other,,1399.6974157142756,1039577.7857949999,0.0,269716.10155,57822.563299999994,9.33
27829,NonResidential,Small- and Mid-Sized Office,EAST PIKE BUILDING,19578,6003000065,3,EAST,1920,1,2.0,1972.1457331200002,0.0,Office,,64.0,1559.2572428200413,979220.1770799999,0.0,234465.0,0.0,5.58
27830,NonResidential,Small- and Mid-Sized Office,ELYSIAN BREWING CO & OFFICES,98122.0,6003000070,3,EAST,1920,1.0,3,2175.97500288,0.0,Office,,64.5,1841.4680748652895,3119514.89308,0.0,101010.69922000001,2485009.72203,127.495
27833,NonResidential,Other,Sound Mental Health,98122.0,7234600405,3,EAST,1975,5.0,2,3611.97729216,1052.4056371200002,Urgent Care/Clinic/Other Outpatient,,,3228.6732967604285,3789658.6721049994,0.0,951809.34375,113126.17085,28.335
27869,NonResidential,Warehouse,Auto Accessories Inc.,98112.0,6003000220,3,EAST,1920,1.0,2,2140.4860416,0.0,Non-Refrigerated Warehouse,,98.5,119.24399998353873,85877.61018405319,0.0,21822.799805000002,7182.848479999999,0.88
27874,NonResidential,Warehouse,20172- Seattle / Capitol,98122.0,6003000375,3,EAST,1958,1.0,2,5748.840115200001,0.0,Non-Refrigerated Warehouse,,67.5,338.9936583444718,620111.05341125,0.0,171050.0,0.0,4.065
27882,NonResidential,Small- and Mid-Sized Office,900 E Pine St,98122.0,6003000605,3,EAST,1925,1.0,2,2595.5251315200003,0.0,Office,Retail Store,96.0,1446.2593666611447,1151712.66183375,0.0,322664.54689999996,3040.15539,7.83
27891,NonResidential,Other,University VW,98105.0,6746701575,4,NORTHEAST,1924,1.0,2,2006.705664,0.0,Other - Services,Retail Store,,1416.1644265317582,1769622.06879,0.0,491580.29689999996,0.0,11.695
27892,Nonresidential COS,Other,Fire Station 17,98105.0,6746701655,4,NORTHEAST,1929,1.0,3,2592.73804032,0.0,Other,,,2177.054688221903,2192603.00821,0.0,277112.0,999027.3459899998,56.885
27901,Campus,K-12 School,The Bush School - Upper School,98112.0,6600000385,3,CENTRAL,2000,1.0,2,2839.30270848,0.0,K-12 School,,70.0,1231.6201777180054,1963728.90835125,0.0,190762.89844999998,993621.2185499999,54.555
27903,NonResidential,Retail Store,(ID27903) PACIFIC RIM CENTER,98104.0,6600770000,2,DOWNTOWN,2000,1.0,3,5106.787205760001,0.0,Retail Store,,71.5,2158.884243378182,3822617.0320325,0.0,931811.5625,365269.68495,40.55
27922,NonResidential,K-12 School,Seattle Temple,98122.0,7234600135,3,CENTRAL,1951,1.0,2,3421.1544480000002,0.0,K-12 School,Worship Facility,,710.9213605827881,2106137.2803825,0.0,272981.20314999996,905813.85005,52.09
27928,NonResidential,Small- and Mid-Sized Office,Jewish Family Service,98122.0,7234600310,3,EAST,1958,1.0,3,2400.0571353600003,0.0,Office,,71.0,1871.562971839705,2497166.914645,0.0,363571.84375,972791.16897,57.620000000000005
